CareerCluster,CareerRole,RequiredSkills,EducationLevelRequired,AvgSalaryRange,JobOutlook,GrowthPath,LearningResources,EntranceExams,FieldforAdmission,OnlineResourcesLinks,FreeCertifications
STEM,Data Scientist,Python; R; MATLAB; Statistics; Research; Problem Solving,Post-graduation,13-40 LPA,Very High,Entry Level > Data Scientist > Senior Data Scientist > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Machine Learning Engineer,Python; R; MATLAB; Statistics; Research; Machine Learning,Graduation,7-25 LPA,Very High,Entry Level > Machine Learning Engineer > Senior Machine Learning Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Research Scientist,Python; R; MATLAB; Statistics; Research; Technical Writing,Post-graduation,13-40 LPA,Very High,Entry Level > Research Scientist > Senior Research Scientist > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Biomedical Engineer,Python; R; MATLAB; Statistics; Research; Quality Control,Graduation,7-25 LPA,High,Entry Level > Biomedical Engineer > Senior Biomedical Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Chemical Engineer,Python; R; MATLAB; Statistics; Research; Quality Control,Graduation,7-25 LPA,High,Entry Level > Chemical Engineer > Senior Chemical Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Civil Engineer,Python; R; MATLAB; Statistics; Research; Project Management,Graduation,7-25 LPA,High,Entry Level > Civil Engineer > Senior Civil Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Mechanical Engineer,Python; R; MATLAB; Statistics; Research; AutoCAD,Graduation,7-25 LPA,Very High,Entry Level > Mechanical Engineer > Senior Mechanical Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Electrical Engineer,Python; R; MATLAB; Statistics; Research; SolidWorks,Graduation,7-25 LPA,Very High,Entry Level > Electrical Engineer > Senior Electrical Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Environmental Scientist,Python; R; MATLAB; Statistics; Research; Data Analysis,Post-graduation,13-40 LPA,High,Entry Level > Environmental Scientist > Senior Environmental Scientist > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Physicist,Python; R; MATLAB; Statistics; Research; Technical Writing,Post-graduation,13-40 LPA,High,Entry Level > Physicist > Senior Physicist > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
